#gap_opening=-7
#gap_extension=-3
#fasta1,fasta2,score,norm_score
sequences/prot-0056.fa,sequences/prot-0826.fa,27.0,0.5294117647058824
sequences/prot-0093.fa,sequences/prot-0091.fa,60.0,0.9230769230769231
sequences/prot-0186.fa,sequences/prot-0014.fa,21.0,0.525
sequences/prot-0035.fa,sequences/prot-0071.fa,32.0,0.4
sequences/prot-0148.fa,sequences/prot-0369.fa,25.0,0.8064516129032258
sequences/prot-0018.fa,sequences/prot-0198.fa,40.0,0.46511627906976744
sequences/prot-0166.fa,sequences/prot-0839.fa,31.0,0.3924050632911392
sequences/prot-0228.fa,sequences/prot-0121.fa,29.0,0.6170212765957447
sequences/prot-0110.fa,sequences/prot-0613.fa,51.0,0.5204081632653061
sequences/prot-0244.fa,sequences/prot-0817.fa,32.0,0.32653061224489793
sequences/prot-0326.fa,sequences/prot-0712.fa,38.0,0.3838383838383838
sequences/prot-0346.fa,sequences/prot-0063.fa,44.0,0.8627450980392157
sequences/prot-0363.fa,sequences/prot-0345.fa,36.0,1.8
sequences/prot-0305.fa,sequences/prot-0785.fa,55.0,0.45454545454545453
sequences/prot-0075.fa,sequences/prot-0561.fa,51.0,0.33774834437086093
sequences/prot-0286.fa,sequences/prot-0641.fa,68.0,0.6732673267326733
sequences/prot-0131.fa,sequences/prot-0547.fa,71.0,0.47333333333333333
sequences/prot-0431.fa,sequences/prot-0093.fa,36.0,0.4
sequences/prot-0262.fa,sequences/prot-0540.fa,70.0,0.42168674698795183
sequences/prot-0486.fa,sequences/prot-0314.fa,39.0,0.4936708860759494
sequences/prot-0206.fa,sequences/prot-0313.fa,77.0,0.5133333333333333
sequences/prot-0414.fa,sequences/prot-0903.fa,42.0,0.5675675675675675
sequences/prot-0552.fa,sequences/prot-0460.fa,54.0,0.6206896551724138
sequences/prot-0503.fa,sequences/prot-0454.fa,53.0,0.3419354838709677
sequences/prot-0446.fa,sequences/prot-0424.fa,86.0,0.49142857142857144
sequences/prot-0380.fa,sequences/prot-0553.fa,65.0,0.34210526315789475
sequences/prot-0397.fa,sequences/prot-0470.fa,73.0,0.3004115226337449
sequences/prot-0595.fa,sequences/prot-0503.fa,58.0,0.3741935483870968
sequences/prot-0520.fa,sequences/prot-0088.fa,57.0,0.4351145038167939
sequences/prot-0469.fa,sequences/prot-0609.fa,56.0,0.25339366515837103
sequences/prot-0682.fa,sequences/prot-0873.fa,39.0,1.0833333333333333
sequences/prot-0648.fa,sequences/prot-0022.fa,37.0,0.5068493150684932
sequences/prot-0665.fa,sequences/prot-0100.fa,74.0,1.088235294117647
sequences/prot-0750.fa,sequences/prot-0875.fa,24.0,0.6486486486486487
sequences/prot-0616.fa,sequences/prot-0819.fa,41.0,0.3203125
sequences/prot-0734.fa,sequences/prot-0108.fa,36.0,0.5294117647058824
sequences/prot-0536.fa,sequences/prot-0452.fa,59.0,0.2610619469026549
sequences/prot-0716.fa,sequences/prot-0710.fa,47.0,0.42727272727272725
sequences/prot-0631.fa,sequences/prot-0386.fa,51.0,0.5151515151515151
sequences/prot-0699.fa,sequences/prot-0760.fa,34.0,0.2786885245901639
sequences/prot-0843.fa,sequences/prot-0026.fa,34.0,0.5666666666666667
sequences/prot-0772.fa,sequences/prot-0886.fa,33.0,0.7021276595744681
sequences/prot-0878.fa,sequences/prot-0524.fa,24.0,0.9230769230769231
sequences/prot-0900.fa,sequences/prot-0264.fa,46.0,1.1219512195121952
sequences/prot-0860.fa,sequences/prot-0510.fa,33.0,0.55
sequences/prot-0571.fa,sequences/prot-0711.fa,103.0,0.4309623430962343
sequences/prot-0805.fa,sequences/prot-0261.fa,50.0,0.3937007874015748
sequences/prot-0915.fa,sequences/prot-0407.fa,46.0,0.5
sequences/prot-0791.fa,sequences/prot-0245.fa,62.0,0.45255474452554745
sequences/prot-0821.fa,sequences/prot-0591.fa,80.0,0.3389830508474576
